X,Y,co_v0_j1__v0_j0,co_v0_j2__v0_j1,co_v0_j3__v0_j2
5,1,3.1849281690459343,2.002650111108653,1.9552696475899412
5,2,6.803420214709354,3.2702484198417436,2.529103841130297
5,3,3.9977534417181237,1.8770818158100202,2.3851710862860576
5,4,2.4451522554119385,2.361832244474403,2.453604916813231
5,5,2.2249788051262667,1.691051875416374,1.8005089724695629
5,6,2.7115178108274116,1.9426638933685851,1.8920436693499474
5,7,1.9515499882974365,2.5761125069797446,1.578768574815173
5,8,2.446316814915536,3.457566162862559,1.7784105581330114
5,9,7.478274422776439,3.779697448090374,2.249122730213622
5,10,5.782994712056929,3.5083527754302617,2.0524579562069296
5,11,4.652641494654041,2.363788204434178,1.8820377336875391
5,12,3.088102373629443,1.9140768463951594,1.6887450819187417
5,13,4.702281843909764,2.8450781352078143,1.546162597734838
5,14,1.8497377359014033,2.475728300205841,1.786852643472003
6,0,1.5190005031416967,2.0627558766042244,1.7342208089070448
6,1,2.725524387015531,1.8035828857973928,1.7760655071430484
6,2,2.8155475193774415,1.9590990023507044,1.8249877824266754
6,3,2.556860242639879,1.8929961895967427,1.2677105231100543
6,4,2.227764372572045,2.169966780293112,1.414156588840112
6,5,1.9194258881589663,1.819634328042577,1.3189122745469222
6,6,1.2853708901090979,1.348004546261312,1.6250418092285404
6,7,0.6717102729552882,1.547725769229168,1.6823148121625358
6,8,1.1697522237846183,1.9619189802230068,1.4340711395970387
6,9,2.473593810411778,2.278590739510087,1.8091106428811183
6,10,3.880372904780643,1.4399947767350705,1.4560867782601226
6,11,3.9376693249568318,2.50750466123646,1.6186804019642462
6,12,2.7851034787342033,2.309049479346033,2.1886476900666016
6,13,4.137426877352614,1.6700786413118252,1.599401232786996
6,14,1.5714423179051096,1.6829592030265943,1.5135985496476962
7,0,0.8528008433349858,1.621161604053381,1.5952383034631399
7,1,2.1203361255772637,2.1225184003194535,1.4530485146530325
7,2,2.3645140995868656,1.6535682467393016,1.544114452798457
7,3,2.2927883841109553,1.6222576320713498,2.3966855204801805
7,4,1.2519488667603036,1.8325184786342326,1.7689227296961592
7,5,2.485665042544164,1.7267655597933511,1.6279229055589872
7,6,0.7471883431580073,1.3795409645196792,2.2337353060622767
7,7,1.256110125037521,1.3979121152032925,1.3702422643898147
7,8,1.4203085851946675,2.0323501863730304,1.7893931042661082
7,9,1.946272013526583,1.748667016679872,1.614757286755757
7,10,1.4376041375894328,2.0827875602806962,1.2574077425453405
7,11,2.2661643556461826,1.7979168378193557,1.7893445127201542
7,12,2.4616563127453417,1.8563387041304595,1.8030332669634346
7,13,2.3767540828526945,1.6522471084276678,1.5629149023619517
7,14,1.2275127122684248,1.7226135580140804,2.126465516884225
8,0,1.1526619329797776,1.4552511752863724,1.7749084809407643
8,1,4.845497992909821,1.8129725901075044,1.2341707632378378
8,2,3.762877456859576,2.8463812018720405,1.389333623479418
8,3,5.333862341553728,2.6144325409231484,1.8317188351854958
8,4,3.616246234429267,1.612314820130495,1.6339141573335294
8,5,2.967924429309435,2.078491680494434,1.4711935680486339
8,6,1.1016125505326275,1.9990101937491989,1.2687191589887419
8,7,1.27847000841403,1.3814623381580362,2.061042660464641
8,8,0.7309670615172865,1.822040512579758,2.0927792914043613
8,9,2.2036268461883206,1.9832773624120064,1.9892832352864933
8,10,2.4004924124873304,1.868545742922657,2.2484067718748175
8,11,3.0112329716263835,2.165686171952156,1.4768581700176664
8,12,2.99313481211562,2.1375145013249592,1.8319224008817867
8,13,2.7845907353708466,1.9960886973205585,1.857635241584279
8,14,1.2460105197838034,1.8276657983605828,1.7816393491614755
9,0,2.601797148015212,2.43689070394881,2.210053273903067
9,1,8.247813240711515,4.093499613010334,2.033333611837201
9,2,5.978056791534912,4.190012132949906,2.844998166271887
9,3,8.400114568077685,3.7871156801767483,2.656174385097558
9,4,3.7467759570081562,2.006320342814649,1.9166223223133672
9,5,6.333385064580797,3.320844080927744,1.6363228012960074
9,6,1.7321928516462224,2.3785007524773967,2.055947840126909
9,7,1.5839069615266201,2.951637999117134,2.09577292319086
9,8,1.1898918300464825,2.362811469278317,1.68082611588924
9,9,3.876583342372966,2.8639468859884682,2.0290434747758774
9,10,2.8096714983185374,2.3132303132025247,1.142320315857283
9,11,5.445121952447649,3.2713763650444614,1.7985954275283356
9,12,6.699516349811861,3.4491196399665123,2.2217924776898723
9,13,5.831569654988878,4.206760466297208,2.3728838442530584
9,14,1.1665660176394639,2.399917413633934,2.0194212626402837
10,0,3.369750967952501,2.710053064493824,1.8669572827505188
10,1,6.26640417939758,3.761983287676101,1.647936917040425
10,2,4.949882335774073,3.5356077092705918,1.0190888964084994
10,3,6.060383557785447,3.60577450304347,1.545655598155039
10,4,4.320724667432099,2.1401585474299214,1.8733684467455787
10,5,5.991845098803031,3.959932691166601,1.5448664667780345
10,6,2.6001203699247375,4.0082043937806,1.9516693296555763
10,7,0.9907525624525404,2.417801910155653,1.8715766574909214
10,8,1.5405930799639675,1.8963327620401218,2.3168502841947176
10,9,2.6708365585193325,3.610435566749524,2.5250045764382762
10,10,2.4654317518859274,2.4926000745895314,1.6999091034391347
10,11,4.500177438473919,3.6154428232773195,2.919189299044121
10,12,2.721333528003933,2.304632322559822,1.8184881992872144
10,13,4.106426889270571,3.6945948210983706,1.814497156940271
10,14,2.050104851154613,2.1608736203656798,2.322893666588815
11,0,3.7586488470676693,2.3754498663001504,2.6451305562458165
11,1,6.203467038746391,4.186283813620825,2.633069675126092
11,2,6.138531719797376,3.1920517998925018,1.3961854366975806
11,3,6.15324327910252,3.5959097826908843,2.5130239100273135
11,4,5.267993635610033,2.726724379444437,2.338867015108016
11,5,5.664070160655334,4.0087712477492286,3.2970724527242115
11,6,3.242785049340734,4.019165668387122,2.6422726151394134
11,7,2.0797662900013174,2.5629324655268655,2.398394340866594
11,8,1.074930608923191,1.9218102222669975,1.4964028593189076
11,9,5.013727661523433,3.6156754892528467,2.171073511909497
11,10,4.500750373068499,2.1128979596720185,1.9375310414849076
11,11,5.509617183898578,3.580167791311862,2.6159363233438637
11,12,4.156073047623038,2.3855186304766516,1.8222625145357627
11,13,6.49293992405548,4.03740620301348,2.0435569839232115
11,14,3.3603158880243806,3.1550007567721217,1.6909901622271124
12,0,4.981905223669349,3.554410761086701,3.108986857805222
12,1,6.5553518908753565,3.3812586320933264,3.3397366813045126
12,2,4.016324281418717,3.1364988410172,2.38658663385446
12,3,4.249545290932317,3.327247021725439,2.70578403312548
12,4,2.961454842964246,2.652109553944425,2.4113674576018895
12,5,4.6239972753572856,4.02223826921409,3.3577279217555387
12,6,1.6357640666987514,2.2321968665306273,1.6919806791483774
12,7,1.7537816590462454,3.183580686849822,1.7840422096400028
12,8,1.494899906568537,2.126229297006735,1.8870867125212756
12,9,6.829565871445531,4.060926098661166,2.809816984057875
12,10,4.003032943487624,2.00153315856475,1.9480526371435585
12,11,5.569853919488751,3.1730901534177565,2.129378152098651
12,12,4.798299476828292,3.1054834178937973,1.8702307725064657
12,13,8.102644711911278,3.9748946785815433,2.3410047690713736
12,14,5.087647909280288,3.102144896153884,2.1985380423564838
13,0,7.381718468255191,3.9504892968995704,2.6792206533307934
13,1,6.97188796121737,3.877232283293767,3.3762476349290287
13,2,6.216116626600233,3.961012988471785,2.970535552776076
13,3,5.2181758493791826,4.16053948687124,3.3010716985707624
13,4,3.8124306415300375,2.4548214817658587,2.503805380193746
13,5,4.646299891380503,3.7044493927853983,2.6787576451404083
13,6,2.6514633380481394,3.1897838763494777,2.0900272090044547
13,7,1.73718489341671,3.1727962019138167,1.7998032072464745
13,8,1.865266819244956,1.9068359542762736,1.6032684056608382
13,9,4.182159969649441,3.6579135720840306,1.7276196740815957
13,10,4.443540836987961,2.383668282871911,1.8967111569204531
13,11,5.849002828446441,3.659976187495143,1.8107801445529956
13,12,7.399199260724849,3.9230233065552227,2.46652184504958
13,13,8.437578054994033,3.902635550092966,2.214255583169309
13,14,6.308181511680743,3.277418030301053,2.308210805416829
14,0,9.430762243340368,4.670725193094101,2.919261000261732
14,1,7.417117364839723,3.9700926909526553,2.3725492613250045
14,2,5.432815417706245,3.506445794830612,2.7682661243696036
14,3,4.008240919265286,3.378849589535817,2.4956660686478536
14,4,3.314001626400415,2.2204312913059985,1.8290454441018758
14,5,1.7505340463094348,2.7607145932429393,1.742931890203261
14,6,1.0851029186256986,2.6591221103494056,1.7175934091046443
14,7,0.9293335402976096,1.8021445874506015,1.7923326427873256
14,8,1.419060040326724,1.6741374997263747,2.087548529632035
14,9,1.3468024097991487,2.8026031564709037,1.8038518323750872
14,10,2.15500415111873,2.5792828040670948,2.0393374552422014
14,11,3.2597746856842407,2.4059826930842756,2.081255812196852
14,12,4.506432162796694,2.745917170734139,1.822543820058589
14,13,6.126044795056157,3.500813321196155,2.4092663896603366
14,14,7.680455866937641,3.589850166163063,2.5592162900472175
