X,Y,co_v0_j1__v0_j0,co_v0_j2__v0_j1,co_v0_j3__v0_j2
9,10,0.03,0.03,0.03
9,11,0.03,0.03,0.03
9,12,0.03,0.03,0.03
9,13,0.03,0.03,0.03
9,14,0.03,0.03,0.03
10,0,0.03,0.03,0.03
10,1,0.03,0.03,0.03
10,2,0.03,0.03,0.03
10,3,0.03,0.03,0.03
10,4,0.03,0.03,0.03
10,5,0.03,0.03,0.03
10,6,0.03,0.03,0.03
10,7,0.03,0.03,0.03
10,8,0.03,0.03,0.03
10,9,0.03,0.03,0.03
10,10,0.03,0.03,0.03
10,11,0.03,0.03,0.03
10,12,0.03,0.03,0.03
10,13,0.03,0.03,0.03
10,14,0.03,0.03,0.03
11,0,0.03,0.03,0.03
11,1,0.03,0.03,0.03
11,2,0.03,0.03,0.03
11,3,0.03,0.03,0.03
11,4,0.03,0.03,0.03
11,5,0.03,0.03,0.03
11,6,0.03,0.03,0.03
11,7,0.03,0.03,0.03
11,8,0.03,0.03,0.03
11,9,0.03,0.03,0.03
11,10,0.03,0.03,0.03
11,11,0.03,0.03,0.03
11,12,0.03,0.03,0.03
11,13,0.03,0.03,0.03
11,14,0.03,0.03,0.03
12,0,0.03,0.03,0.03
12,1,0.03,0.03,0.03
12,2,0.03,0.03,0.03
12,3,0.03,0.03,0.03
12,4,0.03,0.03,0.03
12,5,0.03,0.03,0.03
12,6,0.03,0.03,0.03
12,7,0.03,0.03,0.03
12,8,0.03,0.03,0.03
12,9,0.03,0.03,0.03
12,10,0.03,0.03,0.03
12,11,0.03,0.03,0.03
12,12,0.03,0.03,0.03
12,13,0.03,0.03,0.03
12,14,0.03,0.03,0.03
13,0,0.03,0.03,0.03
13,1,0.03,0.03,0.03
13,2,0.03,0.03,0.03
13,3,0.03,0.03,0.03
13,4,0.03,0.03,0.03
13,5,0.03,0.03,0.03
13,6,0.03,0.03,0.03
13,7,0.03,0.03,0.03
13,8,0.03,0.03,0.03
13,9,0.03,0.03,0.03
13,10,0.03,0.03,0.03
13,11,0.03,0.03,0.03
13,12,0.03,0.03,0.03
13,13,0.03,0.03,0.03
13,14,0.03,0.03,0.03
14,0,0.03,0.03,0.03
14,1,0.03,0.03,0.03
14,2,0.03,0.03,0.03
14,3,0.03,0.03,0.03
14,4,0.03,0.03,0.03
14,5,0.03,0.03,0.03
14,6,0.03,0.03,0.03
14,7,0.03,0.03,0.03
14,8,0.03,0.03,0.03
14,9,0.03,0.03,0.03
14,10,0.03,0.03,0.03
14,11,0.03,0.03,0.03
14,12,0.03,0.03,0.03
14,13,0.03,0.03,0.03
14,14,0.03,0.03,0.03
